Gregorian Date,Weekday,Tilburian Day (Year),Tilburian Cycle Year,Tilburian Day (Month),Tilburian Month,Festival
"Sunday, March 17, 2024",Sunday,1,14 Year of the Cabbage,1,mensis Pauli,Festival of Kupus
"Monday, March 18, 2024",Monday,2,14 Year of the Cabbage,2,mensis Pauli,
"Tuesday, March 19, 2024",Tuesday,3,14 Year of the Cabbage,3,mensis Pauli,
"Wednesday, March 20, 2024",Wednesday,4,14 Year of the Cabbage,4,mensis Pauli,
"Thursday, March 21, 2024",Thursday,5,14 Year of the Cabbage,5,mensis Pauli,
"Friday, March 22, 2024",Friday,6,14 Year of the Cabbage,6,mensis Pauli,
"Saturday, March 23, 2024",Saturday,7,14 Year of the Cabbage,7,mensis Pauli,
"Sunday, March 24, 2024",Sunday,8,14 Year of the Cabbage,8,mensis Pauli,
"Monday, March 25, 2024",Monday,9,14 Year of the Cabbage,9,mensis Pauli,
"Tuesday, March 26, 2024",Tuesday,10,14 Year of the Cabbage,10,mensis Pauli,
"Wednesday, March 27, 2024",Wednesday,11,14 Year of the Cabbage,11,mensis Pauli,
"Thursday, March 28, 2024",Thursday,12,14 Year of the Cabbage,12,mensis Pauli,
"Friday, March 29, 2024",Friday,13,14 Year of the Cabbage,13,mensis Pauli,
"Saturday, March 30, 2024",Saturday,14,14 Year of the Cabbage,14,mensis Pauli,
"Sunday, March 31, 2024",Sunday,15,14 Year of the Cabbage,15,mensis Pauli,Easter Sunday of the Resurrection of the Lord
"Monday, April 01, 2024",Monday,16,14 Year of the Cabbage,16,mensis Pauli,Easter Octave
"Tuesday, April 02, 2024",Tuesday,17,14 Year of the Cabbage,17,mensis Pauli,Easter Octave
"Wednesday, April 03, 2024",Wednesday,18,14 Year of the Cabbage,18,mensis Pauli,Easter Octave
"Thursday, April 04, 2024",Thursday,19,14 Year of the Cabbage,19,mensis Pauli,Easter Octave
"Friday, April 05, 2024",Friday,20,14 Year of the Cabbage,20,mensis Pauli,Easter Octave
"Saturday, April 06, 2024",Saturday,21,14 Year of the Cabbage,21,mensis Pauli,Easter Octave
"Sunday, April 07, 2024",Sunday,22,14 Year of the Cabbage,22,mensis Pauli,Easter Octave
"Monday, April 08, 2024",Monday,23,14 Year of the Cabbage,23,mensis Pauli,
"Tuesday, April 09, 2024",Tuesday,24,14 Year of the Cabbage,24,mensis Pauli,
"Wednesday, April 10, 2024",Wednesday,25,14 Year of the Cabbage,25,mensis Pauli,
"Thursday, April 11, 2024",Thursday,26,14 Year of the Cabbage,26,mensis Pauli,
"Friday, April 12, 2024",Friday,27,14 Year of the Cabbage,27,mensis Pauli,
"Saturday, April 13, 2024",Saturday,28,14 Year of the Cabbage,28,mensis Pauli,
"Sunday, April 14, 2024",Sunday,29,14 Year of the Cabbage,29,mensis Pauli,
"Monday, April 15, 2024",Monday,30,14 Year of the Cabbage,30,mensis Pauli,
"Tuesday, April 16, 2024",Tuesday,31,14 Year of the Cabbage,31,mensis Pauli,
"Wednesday, April 17, 2024",Wednesday,32,14 Year of the Cabbage,32,mensis Pauli,
"Thursday, April 18, 2024",Thursday,33,14 Year of the Cabbage,33,mensis Pauli,
"Friday, April 19, 2024",Friday,34,14 Year of the Cabbage,34,mensis Pauli,
